,username,password
0,b59298812241,izQ8L#WSTB%Pe*2o
1,b60786177869,RdpNPbe@J?b2&s
2,b61012608600,HUt6?*bYO@fbmS38f
3,b59403990600,Aqt1sXoh$M07myU
4,b58161054962,apC2T0sR2eamGg&S
5,b59954349741,$3TlQtZaY4av
6,b58458043326,QwF*42CK%%WBNR7
7,b58606271184,IdCZj$c5swlle
8,b62580454189,2lWLP1#t&ECBMiP
9,b60771703837,5mt?e8enYKbBnW
10,b62299086892,r42@GdTP&AUT
11,b62015098746,HSoWelI#sV3*H
12,b58297453334,%$euad3CSjcK
13,b62215291256,DfKu@j4Tq%Vx7@a
14,b60172964232,nIyaFo!cN3
15,b61650460566,ns4tA58A$@qrHErGc
16,b62011958297,ikq7ez?qzt6
17,b62821969377,&pz0PPLX@FBWH*A
18,b60395268105,uN!UgTD0bV!G8cBv
19,b60766383220,m*llD2Bc&E#CV8
20,b58712661809,xyefdEx5Cr#1#HCw
21,b61866906311,fNdh*&Nc0*pZB3
22,b60451295744,pyPPKKOUT1X#
23,b60111268143,AY*5gqA3WZDn7*
24,b61757730566,wK5m!aP@KuEKzso
25,b59889316493,p5S$3VAz%O5ny
26,b59488305901,TXQhsvN!ek3fM
27,b60679823818,HHI?3W7Zn!qXFaN#
28,b58482569824,qFOGHgj*j26yP8
29,b59646301151,2dWcy%HiB*QH4dV
30,b58239309417,oPhX?dMGPk&WO0
31,b58818475279,&&i?6OYdxXhiHmb5
32,b61416953359,wyC2%b5QFulK?box
33,b58797814015,DxDW$4o!D%V1OH
34,b60508188000,Y5?W#M@GeZpJ
35,b58124729650,dInNkNU#@BZlL5I
36,b58046596856,2mC3gqvi!1UZGnB
37,b62570067190,@@LonYr?4Otxl
38,b60095346881,!NfIV6**YxrIwS
39,b62753230216,Ql$Z3kkp1FRC
40,b59170452298,3IwBhzpf#4I%HaOc
41,b58467505844,iEPiVz61#pV
42,b58804230841,ILg6G&uz!Ue4?VIO
43,b58201425055,klyjFphc6quv$7!
44,b58632792199,K%nb@isBkrpW1
45,b62137981441,*Dx?wU1I1kYU
46,b59433875603,7qVCd&ODu7J#EL
47,b60620571716,yS4cXbW43nB?O
48,b59374146651,Q7TLkchb8geOkT%$$1
49,b59132967591,mu3bNlJD@15nRE@hC
50,b61271628352,b5rg@AmFWlRRVX1
51,b59478512283,FuD6Cu@$mAZ2OjmX
52,b61131642051,8NLEjD!rl3D
53,b59661433407,wgqX@!s04QYuJ0%TLr
54,b58611256967,uk&HczR6Rc
55,b60084010885,Q@RMSp?35?zj2bw
56,b58864175750,ExFTuRq*4*tt
57,b58856610576,#ni%!1J2VvbGL
58,b58072741594,j8$*UkxuK*XqsbN4
59,b62925397219,#Zic7V2GPzsUxl
60,b59289973632,nlvE&1sZdj
61,b61873542582,LXYl!Pz@1gs1
62,b62092168777,BM$?3bMCDL30KZN&
63,b60393881653,4tqvK#E4p3z@hCm?Ay
64,b61270126039,kY#ZH3Q$bcs4Vr
65,b59411718592,UG!lSY&yRP4rR
66,b62403355639,WtgB@b%JQ1gvr
67,b59051936795,4hP0m?ngErIDjs
68,b61925954911,qeR7puaXibGO3n#8
69,b62611217775,qxKZ5CT8p%EVf1G?
70,b62240280306,6RHRdKl1*X8NRRLr
71,b61253735451,a2F#s8XzA@5Ct
72,b58421121372,8Fsbo%@VC!XO
73,b61100896418,oXpVs*G00WbMe*5
74,b60477256332,YCg$Lo2d?mjg
75,b62158222884,eyaN#G5gE#35pP
76,b60106614090,w2&VESj0WNg?8*Q
77,b58941972334,d$htUrCX&MXP&Ch0
78,b61023260596,WVN@%noe5xp
79,b60965596862,LiIUvT7U1?DrC1
80,b59731423784,wHBaWeU1T!EU
81,b59595893586,sqZY2ux7j?4AP&UFQ?
82,b61873520960,niXxK2Qj&DUuS4U
83,b61382882553,6y6ld%bt*&pl6qEe
84,b60108652214,5x2RnMCuFr?jq
85,b61721613942,v$QX!6i4lk2zZoD
86,b60272880204,22#VYsXJwVzz
87,b58032491583,VYSjG#3y#Jc2AUi
88,b59356503627,b07G%aYSTBV
89,b61388426586,&Mwkw*biV36GO@1
90,b59519973259,wi5ODXf!t0MpKz
91,b59701841328,Ml&w!RK6jRc7cMX4a
92,b62309797579,XVfXmc@pW#IU2fA
93,b62181507082,o#j0Fy$uwFz
94,b60327224732,P#Vzxtm8*%f0Ty
95,b59580163420,4ce!xwwK5A?de
96,b60343803605,8Fs3%pkNPivW
97,b58629139639,sS%?1B7uRHgAE
98,b58430519888,n1ggLQ$RMI%N4
99,b60873574149,u43W?kHAkGtIH
